task,family,model,input,gold_label,pred_label,row_normalized_mean,row_normalized_std,count_mean
acceptance_3,baseline,majority_baseline,none,-1,-1,1.0,0.0,197.0
acceptance_3,baseline,majority_baseline,none,-1,0,0.0,0.0,0.0
acceptance_3,baseline,majority_baseline,none,-1,1,0.0,0.0,0.0
acceptance_3,baseline,majority_baseline,none,0,-1,1.0,0.0,83.0
acceptance_3,baseline,majority_baseline,none,0,0,0.0,0.0,0.0
acceptance_3,baseline,majority_baseline,none,0,1,0.0,0.0,0.0
acceptance_3,baseline,majority_baseline,none,1,-1,1.0,0.0,115.0
acceptance_3,baseline,majority_baseline,none,1,0,0.0,0.0,0.0
acceptance_3,baseline,majority_baseline,none,1,1,0.0,0.0,0.0
acceptance_3,baseline,stratified_random_baseline,none,-1,-1,0.4771573604060914,0.05275281647417897,94.0
acceptance_3,baseline,stratified_random_baseline,none,-1,0,0.24027072758037224,0.007753935186050497,47.333333333333336
acceptance_3,baseline,stratified_random_baseline,none,-1,1,0.2825719120135364,0.05883363333574858,55.666666666666664
acceptance_3,baseline,stratified_random_baseline,none,0,-1,0.47389558232931733,0.05432831027497462,39.333333333333336
acceptance_3,baseline,stratified_random_baseline,none,0,0,0.20883534136546186,0.03032062022197087,17.333333333333332
acceptance_3,baseline,stratified_random_baseline,none,0,1,0.3172690763052209,0.025080313246579902,26.333333333333332
acceptance_3,baseline,stratified_random_baseline,none,1,-1,0.5217391304347826,0.008695652173913077,60.0
acceptance_3,baseline,stratified_random_baseline,none,1,0,0.17971014492753623,0.018101443473618556,20.666666666666668
acceptance_3,baseline,stratified_random_baseline,none,1,1,0.2985507246376811,0.026565656202642562,34.333333333333336
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,-1,-1,0.8595600676818952,0.005861424052686558,169.33333333333334
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,-1,0,0.04230118443316413,0.011722848105373112,8.333333333333334
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,-1,1,0.09813874788494077,0.005861424052686556,19.333333333333332
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,0,-1,0.14457831325301204,0.012048192771084328,12.0
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,0,0,0.6265060240963854,0.048192771084337366,52.0
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,0,1,0.2289156626506024,0.03614457831325302,19.0
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,1,-1,0.21159420289855072,0.005020437123388053,24.333333333333332
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,1,0,0.10144927536231885,0.013282828101321274,11.666666666666666
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,1,1,0.6869565217391305,0.015061311370164176,79.0
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,-1,0.8510998307952623,0.010566832484599636,167.66666666666666
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,0,0.03214890016920474,0.015507870372100978,6.333333333333333
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,1,0.116751269035533,0.008792136079029839,23.0
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,-1,0.18473895582329317,0.0069560273396340536,15.333333333333334
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,0,0.5421686746987951,0.03614457831325302,45.0
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,1,0.27309236947791166,0.030320620221970882,22.666666666666668
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,-1,0.2318840579710145,0.013282828101321283,26.666666666666668
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,0,0.13043478260869565,0.01506131137016415,15.0
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,1,0.6376811594202899,0.027952610901428913,73.33333333333333
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,-1,-1,0.8900169204737732,0.005861424052686582,175.33333333333334
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,-1,0,0.035532994923857864,0.008792136079029832,7.0
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,-1,1,0.07445008460236886,0.007753935186050485,14.666666666666666
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,0,-1,0.12851405622489961,0.030320620221970882,10.666666666666666
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,0,0,0.6746987951807228,0.03187652182005531,56.0
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,0,1,0.19678714859437751,0.01391205467926809,16.333333333333332
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,1,-1,0.24637681159420288,0.025102185616940238,28.333333333333332
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,1,0,0.10434782608695653,0.015061311370164157,12.0
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,1,1,0.6492753623188405,0.010040874246776138,74.66666666666667
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,-1,-1,0.8426395939086294,0.008792136079029804,166.0
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,-1,0,0.05752961082910322,0.015507870372100985,11.333333333333334
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,-1,1,0.09983079526226735,0.01631751397799146,19.666666666666668
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,-1,0.1686746987951807,0.043440376812819155,14.0
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,0,0.5742971887550201,0.025080313246579965,47.666666666666664
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,1,0.25702811244979923,0.025080313246579947,21.333333333333332
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,-1,0.2608695652173913,0.015061311370164176,30.0
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,0,0.13333333333333333,0.010040874246776096,15.333333333333334
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,1,0.6057971014492755,0.021883578073248606,69.66666666666667
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,-1,-1,0.8612521150592217,0.002930712026343303,169.66666666666666
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,-1,0,0.04568527918781726,0.005076142131979697,9.0
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,-1,1,0.09306260575296109,0.002930712026343285,18.333333333333332
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0,-1,0.09638554216867469,0.01204819277108434,8.0
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0,0,0.6987951807228915,0.02409638554216864,58.0
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0,1,0.20481927710843373,0.012048192771084338,17.0
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,1,-1,0.2318840579710145,0.010040874246776106,26.666666666666668
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,1,0,0.10724637681159421,0.013282828101321276,12.333333333333334
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,1,1,0.6608695652173914,0.015061311370164143,76.0
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-1,-1,0.8257191201353639,0.005861424052686582,162.66666666666666
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-1,0,0.049069373942470386,0.002930712026343278,9.666666666666666
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-1,1,0.12521150592216582,0.007753935186050488,24.666666666666668
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,-1,0.1646586345381526,0.018403918453637914,13.666666666666666
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,0,0.5783132530120482,0.05521175536091365,48.0
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,1,0.25702811244979923,0.03680783690727583,21.333333333333332
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,-1,0.23478260869565218,0.008695652173913049,27.0
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,0,0.12753623188405797,0.013282828101321274,14.666666666666666
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,1,0.6376811594202899,0.02188357807324855,73.33333333333333
acceptance_3,transformer,bertimbau_weighted,raw,-1,-1,0.9137055837563451,0.00879213607902978,180.0
acceptance_3,transformer,bertimbau_weighted,raw,-1,0,0.03553299492385787,0.010152284263959388,7.0
acceptance_3,transformer,bertimbau_weighted,raw,-1,1,0.05076142131979696,0.013430209700835489,10.0
acceptance_3,transformer,bertimbau_weighted,raw,0,-1,0.11244979919678715,0.013912054679268088,9.333333333333334
acceptance_3,transformer,bertimbau_weighted,raw,0,0,0.6506024096385542,0.06024096385542166,54.0
acceptance_3,transformer,bertimbau_weighted,raw,0,1,0.2369477911646586,0.048692191377438306,19.666666666666668
acceptance_3,transformer,bertimbau_weighted,raw,1,-1,0.22608695652173913,0.008695652173913049,26.0
acceptance_3,transformer,bertimbau_weighted,raw,1,0,0.12173913043478261,0.017391304347826087,14.0
acceptance_3,transformer,bertimbau_weighted,raw,1,1,0.6521739130434782,0.015061311370164088,75.0
acceptance_5,baseline,majority_baseline,none,-2,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-2,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-2,0,1.0,0.0,31.0
acceptance_5,baseline,majority_baseline,none,-2,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-2,2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-1,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-1,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-1,0,1.0,0.0,72.0
acceptance_5,baseline,majority_baseline,none,-1,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-1,2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,0,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,0,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,0,0,1.0,0.0,82.0
acceptance_5,baseline,majority_baseline,none,0,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,0,2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,1,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,1,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,1,0,1.0,0.0,26.0
acceptance_5,baseline,majority_baseline,none,1,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,1,2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,2,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,2,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,2,0,1.0,0.0,33.0
acceptance_5,baseline,majority_baseline,none,2,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,2,2,0.0,0.0,0.0
acceptance_5,baseline,stratified_random_baseline,none,-2,-2,0.10752688172043011,0.03724840446384682,3.3333333333333335
acceptance_5,baseline,stratified_random_baseline,none,-2,-1,0.23655913978494625,0.06715051611181075,7.333333333333333
acceptance_5,baseline,stratified_random_baseline,none,-2,0,0.44086021505376344,0.06715051611181072,13.666666666666666
acceptance_5,baseline,stratified_random_baseline,none,-2,1,0.04301075268817204,0.01862420223192341,1.3333333333333333
acceptance_5,baseline,stratified_random_baseline,none,-2,2,0.17204301075268816,0.018624202231923414,5.333333333333333
acceptance_5,baseline,stratified_random_baseline,none,-1,-2,0.10648148148148147,0.03495293720032754,7.666666666666667
acceptance_5,baseline,stratified_random_baseline,none,-1,-1,0.3101851851851852,0.048776174781725634,22.333333333333332
acceptance_5,baseline,stratified_random_baseline,none,-1,0,0.3287037037037037,0.08138146218169882,23.666666666666668
acceptance_5,baseline,stratified_random_baseline,none,-1,1,0.1111111111111111,0.05555555555555556,8.0
acceptance_5,baseline,stratified_random_baseline,none,-1,2,0.14351851851851852,0.04877617478172565,10.333333333333334
acceptance_5,baseline,stratified_random_baseline,none,0,-2,0.11382113821138211,0.028163427765347592,9.333333333333334
acceptance_5,baseline,stratified_random_baseline,none,0,-1,0.2926829268292683,0.012195121951219488,24.0
acceptance_5,baseline,stratified_random_baseline,none,0,0,0.3252032520325203,0.037256712967120666,26.666666666666668
acceptance_5,baseline,stratified_random_baseline,none,0,1,0.14634146341463414,0.024390243902439025,12.0
acceptance_5,baseline,stratified_random_baseline,none,0,2,0.12195121951219512,0.04397013750565841,10.0
acceptance_5,baseline,stratified_random_baseline,none,1,-2,0.10256410256410257,0.058750970448151814,2.6666666666666665
acceptance_5,baseline,stratified_random_baseline,none,1,-1,0.2948717948717949,0.14561303450769933,7.666666666666667
acceptance_5,baseline,stratified_random_baseline,none,1,0,0.4102564102564103,0.022205779584216365,10.666666666666666
acceptance_5,baseline,stratified_random_baseline,none,1,1,0.07692307692307693,0.038461538461538464,2.0
acceptance_5,baseline,stratified_random_baseline,none,1,2,0.11538461538461538,0.07692307692307693,3.0
acceptance_5,baseline,stratified_random_baseline,none,2,-2,0.15151515151515152,0.0524863881081478,5.0
acceptance_5,baseline,stratified_random_baseline,none,2,-1,0.29292929292929293,0.046288643383392315,9.666666666666666
acceptance_5,baseline,stratified_random_baseline,none,2,0,0.35353535353535354,0.0630807878626101,11.666666666666666
acceptance_5,baseline,stratified_random_baseline,none,2,1,0.06060606060606061,0.030303030303030304,2.0
acceptance_5,baseline,stratified_random_baseline,none,2,2,0.1414141414141414,0.046288643383392336,4.666666666666667
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-2,-2,0.26881720430107525,0.018624202231923435,8.333333333333334
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-2,-1,0.5698924731182795,0.03724840446384686,17.666666666666668
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-2,0,0.053763440860215055,0.01862420223192341,1.6666666666666667
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-2,1,0.053763440860215055,0.01862420223192341,1.6666666666666667
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-2,2,0.053763440860215055,0.01862420223192341,1.6666666666666667
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-1,-2,0.1111111111111111,0.01388888888888889,8.0
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-1,-1,0.7453703703703703,0.034952937200327515,53.666666666666664
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-1,0,0.10648148148148147,0.02121562821738815,7.666666666666667
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-1,1,0.013888888888888888,0.0,1.0
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-1,2,0.02314814814814815,0.021215628217388146,1.6666666666666667
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,0,-2,0.016260162601626018,0.007040856941336901,1.3333333333333333
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,0,-1,0.1016260162601626,0.007040856941336898,8.333333333333334
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,0,0,0.7317073170731708,0.012195121951219523,60.0
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,0,1,0.02032520325203252,0.0070408569413369,1.6666666666666667
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,0,2,0.13008130081300814,0.01862835648356032,10.666666666666666
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,1,-2,0.012820512820512822,0.022205779584216375,0.3333333333333333
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,1,-1,0.358974358974359,0.022205779584216382,9.333333333333334
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,1,0,0.2820512820512821,0.04441155916843273,7.333333333333333
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,1,1,0.12820512820512822,0.05875097044815181,3.3333333333333335
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,1,2,0.21794871794871795,0.022205779584216375,5.666666666666667
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,2,-2,0.0,0.0,0.0
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,2,-1,0.0909090909090909,0.0,3.0
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,2,0,0.08080808080808081,0.03499092540543187,2.6666666666666665
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,2,1,0.06060606060606061,0.030303030303030304,2.0
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,2,2,0.7676767676767676,0.01749546270271591,25.333333333333332
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-2,-2,0.2903225806451613,0.03225806451612906,9.0
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-2,-1,0.4946236559139785,0.03724840446384683,15.333333333333334
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-2,0,0.11827956989247312,0.01862420223192341,3.6666666666666665
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-2,1,0.053763440860215055,0.01862420223192341,1.6666666666666667
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-2,2,0.04301075268817204,0.01862420223192341,1.3333333333333333
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,-2,0.16666666666666666,0.013888888888888878,12.0
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,-1,0.6342592592592592,0.021215628217388083,45.666666666666664
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,0,0.12037037037037036,0.008018753738744807,8.666666666666666
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,1,0.0462962962962963,0.02121562821738815,3.3333333333333335
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,2,0.032407407407407406,0.008018753738744801,2.3333333333333335
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,-2,0.02032520325203252,0.014081713882673798,1.6666666666666667
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,-1,0.14634146341463417,0.0211225708240107,12.0
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,0,0.7235772357723578,0.014081713882673819,59.333333333333336
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,1,0.024390243902439022,0.01219512195121951,2.0
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,2,0.08536585365853659,0.0,7.0
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,-2,0.025641025641025644,0.022205779584216375,0.6666666666666666
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,-1,0.3717948717948718,0.04441155916843275,9.666666666666666
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,0,0.2948717948717949,0.04441155916843275,7.666666666666667
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,1,0.14102564102564105,0.05875097044815181,3.6666666666666665
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,2,0.16666666666666666,0.022205779584216375,4.333333333333333
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2,-2,0.010101010101010102,0.017495462702715934,0.3333333333333333
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2,-1,0.11111111111111112,0.017495462702715934,3.6666666666666665
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2,0,0.10101010101010101,0.03499092540543187,3.3333333333333335
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2,1,0.06060606060606061,0.030303030303030304,2.0
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2,2,0.7171717171717171,0.01749546270271591,23.666666666666668
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-2,-2,0.3333333333333333,0.06715051611181075,10.333333333333334
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-2,-1,0.5376344086021505,0.0811810154330188,16.666666666666668
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-2,0,0.01075268817204301,0.01862420223192341,0.3333333333333333
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-2,1,0.053763440860215055,0.01862420223192341,1.6666666666666667
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-2,2,0.06451612903225806,0.03225806451612903,2.0
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-1,-2,0.08333333333333333,0.0240562612162344,6.0
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-1,-1,0.7870370370370371,0.01603750747748965,56.666666666666664
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-1,0,0.0925925925925926,0.008018753738744803,6.666666666666667
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-1,1,0.018518518518518517,0.016037507477489603,1.3333333333333333
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-1,2,0.018518518518518517,0.02121562821738815,1.3333333333333333
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,0,-2,0.024390243902439022,0.012195121951219511,2.0
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,0,-1,0.06504065040650407,0.014081713882673796,5.333333333333333
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,0,0,0.7886178861788617,0.03725671296712066,64.66666666666667
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,0,1,0.032520325203252036,0.007040856941336898,2.6666666666666665
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,0,2,0.08943089430894309,0.018628356483560326,7.333333333333333
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,1,-2,0.025641025641025644,0.022205779584216375,0.6666666666666666
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,1,-1,0.3461538461538461,0.0,9.0
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,1,0,0.23076923076923075,0.038461538461538436,6.0
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,1,1,0.20512820512820515,0.04441155916843276,5.333333333333333
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,1,2,0.19230769230769232,0.038461538461538464,5.0
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,2,-2,0.04040404040404041,0.04628864338339232,1.3333333333333333
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,2,-1,0.08080808080808081,0.017495462702715934,2.6666666666666665
